name	description
core/devloop	Goal-driven development loop — define objective, write rule.yml with verifiable key-results, run visual or rule-based checks, sync to issue tracker. Load first when the task is goal to ship with OKR-style verification.
core/install	Install software via x install, a single front door listing every method, with channels including x eget, x env use, and x pixi, plus system package managers. Load when the task is install X, package manager, or mirror switching.
core/issue	Issue tracker integration for the devloop cycle — templates for goal, rule.yml, key-results, and screenshot attachments. Load when the task is post devloop progress or sync work to GitHub or GitLab issues.
core/naming	Naming framework for x-cmd modules, commands, and subcommands: OKR + session record + meta-rule, subjective and scenario-driven. Load when picking a name and you want it checked against the D1-D7 dimensions before committing.
core/ontology-database	Typed knowledge graph via TSV append-only log: entity CRUD, directed relations, schema validation, multi-hop reasoning, multiple backends: AWK, Python, JS, SQLite. Load when the task needs structured entities plus relations with schema enforcement.
core/prompt	Prompt-engineering conventions for x-cmd: reuse via template variables, structure rules, safety patterns. Load when designing a prompt to be reused across calls, or whenever a prompt needs the skill0 standard shape.
core/repo	Convention and tooling for where agent-cloned repos live: default path under ~/.x-repo/PROVIDER/OWNER/NAME, found via x repo ls. Load when the task is clone, locate, or manage repos in the x-repo layout.
core/rule	Rule-based compliance checking via x rule: find problems, ensure minimum quality, with mechanical coverage for SKILL.md shape, OKR, naming, file structure, lint. Load when the task is enforce a convention as a machine-checked rule, not a doc.
core/score	Weighted-dimension scoring framework for AI agents: Don't guess. Score. Outputs ranked TSV. Load when ranking candidates needs verifiable multi-factor comparison: names, gift ideas, purchases, options.
core/skill0-writer	Writing conventions for skill0 documents: pyramid structure, line limits, layout rules, mechanical checks via skill0-writer.rule.yml. Load before authoring or editing any SKILL.md inside lib/skill0/.
core/x-cmd	x-cmd core entry — provides 600+ portable CLI tools via x. Load first when the task is call any x-cmd subcommand, install a missing runtime or CLI, or invoke the x command shell.
core/yfm	YAML front-matter convention for markdown articles, following the Agent Skills standard: plain top-level keys, every extended field nested under metadata: as a comma-separated scalar. Use for memory entries, design notes, blog posts, RUNBOOKs, READMEs, or any other prose an agent or pipeline may scan.
data/ccal	China-region calendar with 调休, 农历, 节气, 生肖, 黄历吉凶, 干支纪年. Multiple access modes: x ccal, direct archive download, or tsv. Load when the task is Chinese calendar lookup.
data/cve	CVE record lookup via x cve: cached per-year xz TSV, no API key, works offline after first sync. Covers KEV, EPSS, NVD and cvelistV5. Load when the task is a vulnerability id, security advisory, or CVE triage.
data/knowledge	Search across the public knowledge web from the CLI: Hacker News, Wikipedia, DuckDuckGo, RFC docs, Stack Exchange. Load when the agent needs to gather information or look something up before deciding.
data/meme	Generate meme images by overlaying text onto templates: Pillow or ImageMagick backends, automatic CJK font fallback. Load when the task is meme, image macro, or text-overlay on a fetched template.
data/wikipedia	Search and read Wikipedia via x wkp: MediaWiki API, no API key, no install; query, extract, suggest, and a DDG route in one module. Load when the task is an encyclopedia lookup or article summary.
it/agent-browser	Browser automation via Chrome or Chromium CDP: open, snapshot, click, screenshot, scripted actions. Load when the task is web interaction, scraping, mobile-layout test, or visual before-and-after verification in devloop.
it/csv	CSV data processing: view, filter, merge, convert to or from TSV and JSON. Load when the task is parse, query, or reshape comma-separated tabular data at the shell.
it/env	Install and manage software packages, language runtimes, and CLI tools instantly via x env, no sudo required. Load when the task is run a tool that is not installed yet, or upgrade a managed tool to a pinned version.
it/git	Git and code-hosting platform management from the terminal: GitHub, GitLab, Codeberg, Forgejo. Load when the task is git operations on a remote host or local repo workflows: clone, PR, merge, release.
it/ip	IP utilities: geolocation, subnet scanning, port discovery, CIDR math. Load when the task is lookup an IP's location, scan a network, or enumerate hosts and ports.
it/qr	QR code generation: terminal display, PNG output, pure shell encoding. Load when the task is encode text, URL, or contact info into a QR code.
it/time	Command execution timing: microsecond precision, statistical analysis, comparison of multiple commands. Load when benchmarking, profiling, or comparing runtimes of commands or scripts.
it/tldr	Quick command reference with practical examples from the tldr-pages project. Load when the task is one-line syntax reminder or typical invocation for an unfamiliar command.
it/tsv	TSV data processing: view, filter, merge, convert to or from CSV. Load when the task is parse, query, or reshape tab-separated tabular data at the shell.
life/lovable	Lovable MCP tool usage: deploy projects, message the agent, test with agent-browser. Load when the task involves a Lovable project, and minimize credits by delegating verification to local browser runs.
